year,month,labor_force,employment,unemployment,unemployment_rate
2012,Jun,4975334,4496136,479198,9.6
2012,Jul,4972751,4489073,483678,9.7
2012,Aug,4909155,4451702,457453,9.3
2012,Sep,4880586,4468793,411793,8.4
2012,Oct,4911842,4485452,426390,8.7
2012,Nov,4876241,4465695,410546,8.4
2012,Dec,4896969,4450415,446554,9.1
2013,Jan,4884395,4376960,507435,10.4
2013,Feb,4889859,4402547,487312,10
2013,Mar,4866798,4413507,453291,9.3
2013,Apr,4866780,4436919,429861,8.8
2013,May,4900304,4462963,437341,8.9
2013,Jun,5012046,4521923,490123,9.8
2013,Jul,4994289,4523994,470295,9.4
2013,Aug,4926502,4479348,447154,9.1
2013,Sep,4889722,4472095,417627,8.5
2013,Oct,4869399,4447296,422103,8.7
2013,Nov,4872310,4472946,399364,8.2
2013,Dec,4861318,4465744,395574,8.1
2014,Jan,4848355,4423261,425094,8.8
2014,Feb,4885248,4451948,433300,8.9
2014,Mar,4889873,4487220,402653,8.2
2014,Apr,4841043,4501887,339156,7
2014,May,4868124,4529515,338609,7
2014,Jun,4949537,4593563,355974,7.2
2014,Jul,4958470,4596863,361607,7.3
2014,Aug,4890275,4552686,337589,6.9
2014,Sep,4852116,4548918,303198,6.2
2014,Oct,4878273,4577746,300527,6.2
2014,Nov,4861328,4567291,294037,6
2014,Dec,4835945,4551719,284226,5.9
2015,Jan,4842406,4507307,335099,6.9
2015,Feb,4854070,4534806,319264,6.6
2015,Mar,4845936,4550876,295060,6.1
2015,Apr,4854405,4581004,273401,5.6
2015,May,4895374,4609581,285793,5.8
2015,Jun,4963741,4660743,302998,6.1
2015,Jul,4960817,4660164,300653,6.1
2015,Aug,4898292,4620849,277443,5.7
2015,Sep,4849547,4598064,251483,5.2
2015,Oct,4886124,4620593,265531,5.4
2015,Nov,4891992,4619524,272468,5.6
2015,Dec,4906954,4622253,284701,5.8
2016,Jan,4900485,4578874,321611,6.6
2016,Feb,4940411,4617881,322530,6.5
2016,Mar,4946408,4633642,312766,6.3
2016,Apr,4922262,4632961,289301,5.9
2016,May,4906431,4648028,258403,5.3
2016,Jun,4998171,4697389,300782,6
2016,Jul,4994264,4704755,289509,5.8
2016,Aug,4934902,4650970,283932,5.8
2016,Sep,4906234,4636594,269640,5.5
2016,Oct,4909472,4637453,272019,5.5
2016,Nov,4881550,4629374,252176,5.2
2016,Dec,4877097,4610402,266695,5.5
2017,Jan,4879041,4585470,293571,6
2017,Feb,4869512,4610093,259419,5.3
2017,Mar,4858832,4642293,216539,4.5
2017,Apr,4816698,4613892,202806,4.2
2017,May,4850534,4652688,197846,4.1
